ID,Name,Year,Runtime,Genre,Language,IMDBScore,Comment,Link,TMDBkey
55,A History of Violence,2005,96,"Action, Crime, Drama",English,7.4,"A film about a man with A History of Violence. And that man is played by Viggo Mortensen. Get it on, ffs",https://www.imdb.com/title/tt0399146/,
56,Source Code,2011,93,"Action, Drama, Mystery",English,7.5,Comment coming soon!,https://www.imdb.com/title/tt0945513/,
57,Kung Fu Panda,2008,92,"Animation, Action, Adventure, Family",English,7.6,Comment coming soon!,https://www.imdb.com/title/tt0441773/,
58,The Naked Gun: From the Files of Police Squad!,1988,85,"Comedy, Crime",English,7.6,Comment coming soon!,https://www.imdb.com/title/tt0095705/,
59,Thank You for Smoking,2005,92,"Comedy, Drama",English,7.5,The relationship between a tobacco lobbyist (boo!) and his daughter,https://www.imdb.com/title/tt0427944/,
60,127 Hours,2010,94,"Biography, Drama",English,7.5,Comment coming soon!,https://www.imdb.com/title/tt1542344/,
61,First Blood,1982,93,"Action, Adventure, Thriller",English,7.7,NB this is a Rambo film despite not being called Rambo: First Blood. Violent and potentially politically-questionable but a good time!,https://www.imdb.com/title/tt0083944/,
62,Rushmore,1998,93,"Comedy, Drama, Romance",English,7.6,Quirky but not too quirky that it becomes annoying. Like possibly some of Wes Anderson's other films. No offence to the Andersonistas out there,https://www.imdb.com/title/tt0128445/,
63,Blazing Saddles,1974,93,"Comedy, Western",English,7.7,"A provocative comedy that parodies the Western genre and takes aim at racism in America. The jokes in this walk a fine line between satire and genuine offense, so consider yourself warned ",https://www.imdb.com/title/tt0071230/,
64,The Hangover,2009,100,Comedy,English,7.7,Comment coming soon!,https://www.imdb.com/title/tt1119646/,
65,Moonrise Kingdom,2012,94,"Comedy, Drama, Family",English,7.8,Comment coming soon!,https://www.imdb.com/title/tt1748122/,
66,Willy Wonka & the Chocolate Factory,1971,100,"Family, Fantasy, Musical",English,7.8,Comment coming soon!,https://www.imdb.com/title/tt0067992/,
67,Shrek,2001,90,"Animation, Adventure, Comedy, Family",English,7.9,Comment coming soon!,https://www.imdb.com/title/tt0126029/,
68,The Breakfast Club,1985,97,"Comedy, Drama",English,7.8,Comment coming soon!,https://www.imdb.com/title/tt0088847/,
69,The Iron Giant,1999,86,"Animation, Action, Adventure, Family",English,8.1,"This film shows that Vin Diesel is multi-faceted, although I guess this film is also about family, which he does love to talk about",https://www.imdb.com/title/tt0129167/,
70,How to Train Your Dragon,2010,98,"Animation, Action, Adventure, Family",English,8.1,Comment coming soon!,,
71,Finding Nemo,2003,100,"Animation, Adventure, Comedy, Family",English,8.2,Comment coming soon!,,
72,Up,2009,96,"Animation, Adventure, Comedy, Family",English,8.3,"I'm not crying, you are",,
73,Inside Out,2015,95,"Animation, Adventure, Comedy, Family",English,8.1,Comment coming soon!,,
74,Toy Story,1995,81,"Animation, Adventure, Comedy, Family",English,8.3,Comment coming soon!,,
75,Toy Story 2,1999,92,"Animation, Adventure, Comedy, Family",English,7.9,Comment coming soon!,,
76,WALL·E,2008,98,"Animation, Adventure, Family",English,8.4,"Happy Hundies consultant: ""Heart warming film, what an interesting comment on civilisation""",https://www.imdb.com/title/tt0910970,
77,Monty Python and the Holy Grail,1975,91,"Adventure, Comedy, Fantasy",English,8.2,Comment coming soon!,,
78,Life of Brian,1979,94,Comedy,English,8,Comment coming soon!,,
79,Reservoir Dogs,1992,99,"Crime, Thriller",English,8.3,Comment coming soon!,,
80,You Were Never Really Here,2017,89,"Crime, Drama",English,6.7,Comment coming soon!,,
81,The Platform,2019,94,"Horror, Sci-Fi, Thriller",Spanish,7,"A violent, claustrophobic Spanish dystopian horror that says something about society, ya know? ",,
